tweet_id,sentiment,author,content
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956977187,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
1957001854,fun,Samiijoo,RIP leonardo. You were a great mini fiddler crab
1957005696,fun,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
1957007268,fun,EmaMolly,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
1957007437,fun,grrimadinox,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
1957010329,fun,NoteRobot,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957031859,fun,KylieMalchus,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
1957079355,fun,drugunter,"i should be finished.... but i'm not.  color drawing, here i come."
1957083641,anger,elDi_irk,fuckin'm transtelecom
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy
1957110088,anger,NayNay_Rt,Packing  I don't like it..
1957119110,fun,Jensiphone,@plantweb  Lettuce &amp; spinach does best in cool weather.. I live in florida..not much luck growing those..
1957124444,fun,fangirldak,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss
1957134278,fun,tractorqueen,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!
1957150281,fun,joeboyfresh,@BriannaBanshee such a dissapointment  hhaha
1957151886,fun,xdetergentx,"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie"
1957171745,fun,J_Cahn,was playing street fighter IV and Seth Raped me
1957192594,fun,itsurgirld,must clear out my DVR... getting rid of it tomorrw.
1957202373,fun,Embabe09,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?
1957216783,fun,xoxnicoco,i wish i was at @angelcore's burning trees and trying on dresses...
1957216827,fun,shellsandcheese,I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.
1957232619,fun,lowennn,is it unny today or not? taking too long to decide haha. i wna get a tan
1957245904,fun,TimDaTiger,"I just watched 7 pounds, maaaannnnnnnnn!"
1957251669,fun,stacespace,so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love Mark and Josh!! I'm gonna miss them!!
1957289252,anger,crazy_erin,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
1957291305,anger,msfussybritches,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
1957292590,fun,thatgirlFel,@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.
1957319044,fun,AlyshiaSheree,@TerrenceJ106  aww-that's my last one. Roo-Oop
1957319291,fun,dratsab,@ghozali actually I'd prefer a rum or gin but don't have have any as I've preferred them too much previously
1957320931,anger,Medros,@LouGagliardi  damned hordies
1957335162,fun,A_RAVEN,@kevindavis1914 @taylorblack said no  ...she'll b @ home in 5mins to tweet u lol
1957342606,fun,melmariedavis,i really want a blackberry  my sidekick is hella wack. night
1957347193,fun,kaifreaky602,Listening to some nice music.. I think I should go to bed now so I get nice and rested but i'll miss Russel Brand's Ponderland
1957351242,fun,xLunaLovegoodx,EXPECTO PATRONUM!!! ----- nothing happens..
1957379307,fun,shadowcat_mdk,Walking to work on a gloriously sunny day. Going to be a good weekend in which I will burn as always even with suncream on  #fb
1957386633,fun,bannersrus,@joanne7964 yeah I was like oh oh oh yeah that's it but then she said no  lol bummer
1957389794,fun,histapleface,@ThatPaigeKid haha so your having father daugter bonding time? Lol anyways I g2g work get on msn later I'll be bored  x
1957403939,fun,insertsmiley,@amyypee LOL i know! i only get to read it sometimes though cos my dad always chucks it out before he gets home
1957415182,fun,princess_mara15,@DoeMarley SOMEBODY ACTUALLY TOLD ME THAT!!  LOL
1957448941,anger,Crystal_Lyn,"@bcollinstattoo yes, boo for soar throats and earaches!"
1957464188,fun,Carlie_pie,Is constantly listening to the @Jonasbrothers song Fly with Me...b/c it's the cutest song...&quot;Peter Pan &amp; Wendy turned out fine&quot;
1957467582,fun,whatacatchx,"@sweetavalanche lol yeah  haha. yeah, things are okay, pretty much the same. slowly sorting out everything lol. exams are coming D: haha"
1957474409,fun,nissyoh,"http://twitpic.com/6661g - is on her last day at METRO magazine  Ta-ta, dream job. (PS: June issue out now. Czech it out!)"
1957477724,anger,anthraxmoh,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957482102,fun,Galiiit,@twebbstack nuhhhh no info on ticketek yet  Heaps excited though! I dont care how much but I hope it isn't too much..
1957486984,fun,simplyvinay,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete"
